segment_id,edge_idx,source,target,direction,br,km_start,km_end,length_km,midpoint_lat,midpoint_lon
70,35,6f6970w6,6f68y2k5,C,473,373.9,391.0,17.100000000000023,-32.16542849499996,-52.52399266499995
71,35,6f68y2k5,6f6970w6,D,473,373.9,391.0,17.100000000000023,-32.16542849499996,-52.52399266499995
72,36,6f68y2k5,6f6cd8yn,C,471,458.6,482.7,24.099999999999966,-32.14238932999996,-52.35939394999997
73,36,6f6cd8yn,6f68y2k5,D,471,458.6,482.7,24.099999999999966,-32.14238932999996,-52.35939394999997
74,37,6f68y2k5,6f4kx79r,C,471,482.7,573.8,91.09999999999997,-32.574170709999976,-52.60978596499996
75,37,6f4kx79r,6f68y2k5,D,471,482.7,573.8,91.09999999999997,-32.574170709999976,-52.60978596499996
76,38,6g1umhr5,6g45brgs,C,472,0.0,17.6,17.6,-27.388211284999954,-53.49063016499997
77,38,6g45brgs,6g1umhr5,D,472,0.0,17.6,17.6,-27.388211284999954,-53.49063016499997
78,39,6g1umhr5,6g1u3qdu,C,472,17.6,38.5,20.9,-27.34770854499996,-53.64489044499996
79,39,6g1u3qdu,6g1umhr5,D,472,17.6,38.5,20.9,-27.34770854499996,-53.64489044499996
80,40,6g45brgs,6g4h2fry,C,158,34.7,42.2,7.5,-27.39342546499995,-53.40764718999995
81,40,6g4h2fry,6g45brgs,D,158,34.7,42.2,7.5,-27.39342546499995,-53.40764718999995
82,41,6g45brgs,6g45944g,C,158,42.2,51.5,9.299999999999997,-27.46032186499997,-53.40560837499996
83,41,6g45944g,6g45brgs,D,158,42.2,51.5,9.299999999999997,-27.46032186499997,-53.40560837499996
84,42,6g1u3qdu,6g1u26w0,C,472,38.5,44.1,5.600000000000001,-27.35281734999998,-53.749887394999945
85,42,6g1u26w0,6g1u3qdu,D,472,38.5,44.1,5.600000000000001,-27.35281734999998,-53.749887394999945
86,43,6g1u3qdu,6g1v3dm9,C,163,0.0,25.4,25.4,-27.26551665499997,-53.72277426499994
87,43,6g1v3dm9,6g1u3qdu,D,163,0.0,25.4,25.4,-27.26551665499997,-53.72277426499994
88,44,6g1u26w0,6g1sjyh4,C,472,44.1,58.4,14.299999999999997,-27.376300999999955,-53.82593391499995
89,44,6g1sjyh4,6g1u26w0,D,472,44.1,58.4,14.299999999999997,-27.376300999999955,-53.82593391499995
90,45,6g1sjyh4,6g1euq55,C,472,58.4,67.9,9.500000000000007,-27.410344579999958,-53.915830254999946
91,45,6g1euq55,6g1sjyh4,D,472,58.4,67.9,9.500000000000007,-27.410344579999958,-53.915830254999946
92,46,6g1euq55,6g1emzdx,C,468,94.2,106.3,12.099999999999994,-27.471782859999962,-53.916847659999945
93,46,6g1emzdx,6g1euq55,D,468,94.2,106.3,12.099999999999994,-27.471782859999962,-53.916847659999945
94,47,6g1euq55,6g1s17mv,C,468,106.3,122.3,16.0,-27.417637569999982,-54.01351916999994
95,47,6g1s17mv,6g1euq55,D,468,106.3,122.3,16.0,-27.417637569999982,-54.01351916999994
96,48,6g1emzdx,6g1ehwz7,C,472,80.0,88.0,8.0,-27.53563289999994,-53.908475384999946
97,48,6g1ehwz7,6g1emzdx,D,472,80.0,88.0,8.0,-27.53563289999994,-53.908475384999946
98,49,6g1emzdx,6g1dw8t8,C,468,73.4,94.2,20.799999999999997,-27.59699275999995,-53.86565299499995
99,49,6g1dw8t8,6g1emzdx,D,468,73.4,94.2,20.799999999999997,-27.59699275999995,-53.86565299499995
100,50,6g1ehwz7,6g1e5uer,C,472,88.0,92.0,4.0,-27.56582660999996,-53.95197386499996
101,50,6g1e5uer,6g1ehwz7,D,472,88.0,92.0,4.0,-27.56582660999996,-53.95197386499996
102,51,6g1e5uer,6g1d8dpu,C,472,92.0,114.6,22.599999999999994,-27.622701019999965,-54.03952424499997
103,51,6g1d8dpu,6g1e5uer,D,472,92.0,114.6,22.599999999999994,-27.622701019999965,-54.03952424499997
104,52,6g1d8dpu,6g16jetq,C,472,114.6,132.4,17.80000000000001,-27.713403729999953,-54.17554991499995
105,52,6g16jetq,6g1d8dpu,D,472,114.6,132.4,17.80000000000001,-27.713403729999953,-54.17554991499995
106,53,6g16jetq,6g13979g,C,472,132.4,156.7,24.299999999999983,-27.797310729999964,-54.33895592499994
107,53,6g13979g,6g16jetq,D,472,132.4,156.7,24.299999999999983,-27.797310729999964,-54.33895592499994
108,54,6g13979g,6g130x9p,C,472,156.7,167.1,10.400000000000006,-27.874131499999976,-54.45158422499995
109,54,6g130x9p,6g13979g,D,472,156.7,167.1,10.400000000000006,-27.874131499999976,-54.45158422499995
110,55,6g130x9p,6g11xbh1,C,472,167.1,173.4,6.300000000000011,-27.883945944999965,-54.48293090499996
111,55,6g11xbh1,6g130x9p,D,472,167.1,173.4,6.300000000000011,-27.883945944999965,-54.48293090499996
112,56,6g11xbh1,6g11ss90,C,472,173.4,189.3,15.900000000000006,-27.848879764999964,-54.57095035499995
